Background Color Format,Category,Color,Font Color Format,Product,ProductKey,Standard Cost,Subcategory
#000000,Accessories,Black,#FFFFFF,"Sport-100 Helmet, Black",215,$12.03,Helmets
#000000,Accessories,Black,#FFFFFF,"Sport-100 Helmet, Black",216,$13.88,Helmets
#000000,Accessories,Black,#FFFFFF,"Sport-100 Helmet, Black",217,$13.09,Helmets
#000000,Bikes,Black,#FFFFFF,"Mountain-100 Black, 38",348,$1898.09,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-100 Black, 42",349,$1898.09,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-100 Black, 44",350,$1898.09,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-100 Black, 48",351,$1898.09,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-200 Black, 38",358,$1105.81,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-200 Black, 38",359,$1251.98,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-200 Black, 42",360,$1105.81,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-200 Black, 42",361,$1251.98,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-200 Black, 46",362,$1105.81,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-200 Black, 46",363,$1251.98,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-300 Black, 38",364,$598.44,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-300 Black, 40",365,$598.44,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-300 Black, 44",366,$598.44,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-300 Black, 48",367,$598.44,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-500 Black, 40",596,$294.58,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-500 Black, 42",597,$294.58,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-500 Black, 44",598,$294.58,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-500 Black, 48",599,$294.58,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Mountain-500 Black, 52",600,$294.58,Mountain Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 44",373,$1320.68,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 44",374,$1554.95,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 48",375,$1320.68,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 48",376,$1554.95,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 52",377,$1320.68,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 52",378,$1554.95,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 58",379,$1320.68,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-250 Black, 58",380,$1554.95,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 44",338,$413.15,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 44",339,$486.71,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 48",340,$413.15,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 48",341,$486.71,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 52",342,$413.15,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 52",343,$486.71,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 58",332,$413.15,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 58",333,$486.71,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 60",334,$413.15,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 60",335,$486.71,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 62",336,$413.15,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-650 Black, 62",337,$486.71,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-750 Black, 44",604,$343.65,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-750 Black, 48",605,$343.65,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-750 Black, 52",606,$343.65,Road Bikes
#000000,Bikes,Black,#FFFFFF,"Road-750 Black, 58",584,$343.65,Road Bikes
#000000,Clothing,Black,#FFFFFF,"Full-Finger Gloves, L",470,$15.67,Gloves
#000000,Clothing,Black,#FFFFFF,"Full-Finger Gloves, M",469,$15.67,Gloves
#000000,Clothing,Black,#FFFFFF,"Full-Finger Gloves, S",468,$15.67,Gloves
#000000,Clothing,Black,#FFFFFF,"Half-Finger Gloves, L",466,$9.71,Gloves
#000000,Clothing,Black,#FFFFFF,"Half-Finger Gloves, L",467,$9.16,Gloves
#000000,Clothing,Black,#FFFFFF,"Half-Finger Gloves, M",464,$9.71,Gloves
#000000,Clothing,Black,#FFFFFF,"Half-Finger Gloves, M",465,$9.16,Gloves
#000000,Clothing,Black,#FFFFFF,"Half-Finger Gloves, S",462,$9.71,Gloves
#000000,Clothing,Black,#FFFFFF,"Half-Finger Gloves, S",463,$9.16,Gloves
#000000,Clothing,Black,#FFFFFF,"Men's Sports Shorts, L",454,$24.75,Shorts
#000000,Clothing,Black,#FFFFFF,"Men's Sports Shorts, M",453,$24.75,Shorts
#000000,Clothing,Black,#FFFFFF,"Men's Sports Shorts, S",445,$24.75,Shorts
#000000,Clothing,Black,#FFFFFF,"Men's Sports Shorts, XL",455,$24.75,Shorts
#000000,Clothing,Black,#FFFFFF,"Women's Mountain Shorts, L",476,$26.18,Shorts
#000000,Clothing,Black,#FFFFFF,"Women's Mountain Shorts, M",475,$26.18,Shorts
#000000,Clothing,Black,#FFFFFF,"Women's Mountain Shorts, S",474,$26.18,Shorts
#000000,Clothing,Black,#FFFFFF,"Women's Tights, L",458,$30.93,Tights
#000000,Clothing,Black,#FFFFFF,"Women's Tights, M",457,$30.93,Tights
#000000,Clothing,Black,#FFFFFF,"Women's Tights, S",456,$30.93,Tights
#000000,Components,Black,#FFFFFF,HL Crankset,558,$179.82,Cranksets
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 38",304,$617.03,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 38",305,$653.7,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 38",306,$739.04,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 42",296,$617.03,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 42",297,$653.7,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 42",298,$739.04,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 44",299,$699.09,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 46",301,$617.03,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 46",302,$653.7,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 46",303,$739.04,Mountain Frames
#000000,Components,Black,#FFFFFF,"HL Mountain Frame - Black, 48",300,$699.09,Mountain Frames
#000000,Components,Black,#FFFFFF,HL Mountain Front Wheel,412,$133.3,Wheels
#000000,Components,Black,#FFFFFF,HL Mountain Rear Wheel,421,$145.28,Wheels
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 44",439,$868.63,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 44",440,$868.63,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 48",441,$722.26,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 48",442,$868.63,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 52",443,$722.26,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 52",444,$868.63,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 58",210,$868.63,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 62",437,$722.26,Road Frames
#000000,Components,Black,#FFFFFF,"HL Road Frame - Black, 62",438,$868.63,Road Frames
#000000,Components,Black,#FFFFFF,HL Road Front Wheel,415,$146.55,Wheels
#000000,Components,Black,#FFFFFF,HL Road Rear Wheel,424,$158.53,Wheels
#000000,Components,Black,#FFFFFF,LL Crankset,556,$77.92,Cranksets
#000000,Components,Black,#FFFFFF,"LL Mountain Frame - Black, 40",550,$136.79,Mountain Frames
#000000,Components,Black,#FFFFFF,"LL Mountain Frame - Black, 42",531,$136.79,Mountain Frames
#000000,Components,Black,#FFFFFF,"LL Mountain Frame - Black, 44",532,$136.79,Mountain Frames
#000000,Components,Black,#FFFFFF,"LL Mountain Frame - Black, 48",533,$136.79,Mountain Frames
#000000,Components,Black,#FFFFFF,"LL Mountain Frame - Black, 52",534,$136.79,Mountain Frames
#000000,Components,Black,#FFFFFF,LL Mountain Front Wheel,410,$26.97,Wheels
#000000,Components,Black,#FFFFFF,LL Mountain Rear Wheel,419,$38.96,Wheels
#000000,Components,Black,#FFFFFF,"LL Road Frame - Black, 44",279,$176.2,Road Frames
#000000,Components,Black,#FFFFFF,"LL Road Frame - Black, 44",280,$170.14,Road Frames
#000000,Components,Black,#FFFFFF,"LL Road Frame - Black, 44",281,$204.63,Road Frames
#000000,Components,Black,#FFFFFF,"LL Road Frame - Black, 48",282,$176.2,Road Frames
#000000,Components,Black,#FFFFFF,"LL Road Frame - Black, 48",283,$170.14,Road Frames
